### SECTION 1: GameHeap::Free callers (quarantine SAFE)
  UNCONDITIONAL_CALL @ 0040103e (in FUN_00401030 @ 00401030)
  UNCONDITIONAL_CALL @ 005533aa (in FUN_00553380 @ 00553380)
  UNCONDITIONAL_CALL @ 00a00ac4 (in FUN_00a00a30 @ 00a00a30)
  UNCONDITIONAL_CALL @ 00a00b15 (in FUN_00a00a30 @ 00a00a30)
  UNCONDITIONAL_CALL @ 00a01d79 (in FUN_00a01b00 @ 00a01b00)
  UNCONDITIONAL_CALL @ 00a02f8b (in FUN_00a02d40 @ 00a02d40)
  UNCONDITIONAL_CALL @ 00a0305d (in FUN_00a02d40 @ 00a02d40)
  UNCONDITIONAL_CALL @ 00a03171 (in FUN_00a02d40 @ 00a02d40)
  UNCONDITIONAL_CALL @ 00a07e92 (in FUN_00a07dc0 @ 00a07dc0)
  UNCONDITIONAL_CALL @ 00a086d7 (in FUN_00a080d0 @ 00a080d0)
  UNCONDITIONAL_CALL @ 00a092b2 (in FUN_00a09200 @ 00a09200)
  UNCONDITIONAL_CALL @ 00a09317 (in FUN_00a09200 @ 00a09200)
  UNCONDITIONAL_CALL @ 00a09ef9 (in FUN_00a09410 @ 00a09410)
  UNCONDITIONAL_CALL @ 00a0a1f7 (in FUN_00a0a130 @ 00a0a130)
  UNCONDITIONAL_CALL @ 00a0a2ce (in FUN_00a0a270 @ 00a0a270)
  UNCONDITIONAL_CALL @ 00a0a384 (in FUN_00a0a300 @ 00a0a300)
  UNCONDITIONAL_CALL @ 00a0ada6 (in FUN_00a0ad40 @ 00a0ad40)
  UNCONDITIONAL_CALL @ 00a0ae19 (in FUN_00a0ad40 @ 00a0ad40)
  UNCONDITIONAL_CALL @ 00a0b933 (in FUN_00a0b8d0 @ 00a0b8d0)
  UNCONDITIONAL_CALL @ 00a0be34 (in FUN_00a0be10 @ 00a0be10)
  UNCONDITIONAL_CALL @ 00a0be54 (in FUN_00a0be10 @ 00a0be10)
  UNCONDITIONAL_CALL @ 00a0be94 (in FUN_00a0be70 @ 00a0be70)
  UNCONDITIONAL_CALL @ 00a0abc4 (in FUN_00a0ab70 @ 00a0ab70)
  UNCONDITIONAL_CALL @ 00a0ccc3 (in FUN_00a0cbe0 @ 00a0cbe0)
  UNCONDITIONAL_CALL @ 00a0cd27 (in FUN_00a0cbe0 @ 00a0cbe0)
  UNCONDITIONAL_CALL @ 00a0db1e (in FUN_00a0dae0 @ 00a0dae0)
  UNCONDITIONAL_CALL @ 00a0ddee (in FUN_00a0dcc0 @ 00a0dcc0)
  UNCONDITIONAL_CALL @ 00a0e181 (in FUN_00a0df80 @ 00a0df80)
  UNCONDITIONAL_CALL @ 00a0e27a (in FUN_00a0df80 @ 00a0df80)
  UNCONDITIONAL_CALL @ 00a0f6c0 (in FUN_00a0e770 @ 00a0e770)
  UNCONDITIONAL_CALL @ 00a0f6f8 (in FUN_00a0e770 @ 00a0e770)
  UNCONDITIONAL_CALL @ 00a11eb8 (in FUN_00a11e10 @ 00a11e10)
  UNCONDITIONAL_CALL @ 00a12003 (in FUN_00a11fa0 @ 00a11fa0)
  UNCONDITIONAL_CALL @ 00a1688e (in FUN_00a16850 @ 00a16850)
  UNCONDITIONAL_CALL @ 00a16d74 (in FUN_00a16d20 @ 00a16d20)
  UNCONDITIONAL_CALL @ 00a12220 (in FUN_00a121e0 @ 00a121e0)
  UNCONDITIONAL_CALL @ 00a12253 (in FUN_00a121e0 @ 00a121e0)
  UNCONDITIONAL_CALL @ 00a12357 (in FUN_00a12300 @ 00a12300)
  UNCONDITIONAL_CALL @ 00a1c0df (in FUN_00a1c080 @ 00a1c080)
  UNCONDITIONAL_CALL @ 00a1c30e (in FUN_00a1c2d0 @ 00a1c2d0)
  UNCONDITIONAL_CALL @ 00a1c7e1 (in FUN_00a1c790 @ 00a1c790)
  UNCONDITIONAL_CALL @ 00a1c942 (in FUN_00a1c800 @ 00a1c800)
  UNCONDITIONAL_CALL @ 00a1cafc (in FUN_00a1ca20 @ 00a1ca20)
  UNCONDITIONAL_CALL @ 00a1d22c (in FUN_00a1ce70 @ 00a1ce70)
  UNCONDITIONAL_CALL @ 00a1df46 (in FUN_00a1ddb0 @ 00a1ddb0)
  UNCONDITIONAL_CALL @ 00a1e210 (in FUN_00a1e1d0 @ 00a1e1d0)
  UNCONDITIONAL_CALL @ 00a22ca5 (in FUN_00a22bf0 @ 00a22bf0)
  UNCONDITIONAL_CALL @ 00a30192 (in FUN_00a30160 @ 00a30160)
  UNCONDITIONAL_CALL @ 00a31580 (in FUN_00a31500 @ 00a31500)
  UNCONDITIONAL_CALL @ 00a3159f (in FUN_00a31500 @ 00a31500)
  UNCONDITIONAL_CALL @ 00a3164a (in FUN_00a315b0 @ 00a315b0)
  UNCONDITIONAL_CALL @ 00a31669 (in FUN_00a315b0 @ 00a315b0)
  UNCONDITIONAL_CALL @ 00a31793 (in FUN_00a31740 @ 00a31740)
  UNCONDITIONAL_CALL @ 00a317cb (in FUN_00a31740 @ 00a31740)
  UNCONDITIONAL_CALL @ 00a4764d (in FUN_00a47600 @ 00a47600)
  UNCONDITIONAL_CALL @ 00a5a0b6 (in FUN_00a5a040 @ 00a5a040)
